_id,UNIT_NO,YEAR,MAKE,MODEL,Specialized units,REF_USING_DIV,Utilization
1,095149,2018,FORD,TRANSIT CONN,Yes,CITY CLERKS OFFICE,Not Underutilized
2,095150,2018,FORD,TRANSIT CONN,Yes,CITY CLERKS OFFICE,Not Underutilized
3,112391,2017,FORD,TRANSIT 250,Yes,CITY CLERKS OFFICE,Not Underutilized
4,112393,2017,FORD,TRANSIT 250,Yes,CITY CLERKS OFFICE,Not Underutilized
5,112424,2018,FORD,TRANSIT 250,Yes,CITY CLERKS OFFICE,Not Underutilized
6,114036,2015,FORD,TRANSIT 350,Yes,CITY CLERKS OFFICE,Not Underutilized
7,049008,2017,DODGE,RAM 1500,Yes,ECO. DEVT. & CULTURE,Not Underutilized
8,050265,2024,CHEVROLET,SILVERADO EV,No,ECO. DEVT. & CULTURE,Not Underutilized
9,064173,2017,FORD,F250 4X4,No,ECO. DEVT. & CULTURE,Underutilized
10,067061,2019,FORD,F250 4X4,No,ECO. DEVT. & CULTURE,Underutilized
11,114069,2024,FORD,TRANSIT 350 ELEC,Yes,ECO. DEVT. & CULTURE,Not Underutilized
12,003339,2023,CHEVROLET,BOLT EUV,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
13,041211,2017,FORD,ESCAPE,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
14,041214,2017,FORD,ESCAPE,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
15,041216,2017,FORD,ESCAPE,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
16,041217,2017,FORD,ESCAPE,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
17,041288,2018,FORD,ESCAPE,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
18,041335,2020,CHEVROLET,EQUINOX,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
19,041336,2020,CHEVROLET,EQUINOX,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
20,041403,2021,CHEVROLET,EQUINOX,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
21,041420,2022,CHEVROLET,EQUINOX,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
22,041421,2022,CHEVROLET,EQUINOX,No,ENGINEERING & CONSTR. SERVICES,Not Underutilized
