time_key,time_of_day,hour,minute
1,00:00:00,0,0
2,00:15:00,0,15
3,00:30:00,0,30
4,00:45:00,0,45
5,01:00:00,1,0
6,01:15:00,1,15
7,01:30:00,1,30
8,01:45:00,1,45
9,02:00:00,2,0
10,02:15:00,2,15
11,02:30:00,2,30
12,02:45:00,2,45
13,03:00:00,3,0
14,03:15:00,3,15
15,03:30:00,3,30
16,03:45:00,3,45
17,04:00:00,4,0
18,04:15:00,4,15
19,04:30:00,4,30
20,04:45:00,4,45
21,05:00:00,5,0
22,05:15:00,5,15
23,05:30:00,5,30
24,05:45:00,5,45
25,06:00:00,6,0
26,06:15:00,6,15
27,06:30:00,6,30
28,06:45:00,6,45
29,07:00:00,7,0
30,07:15:00,7,15
31,07:30:00,7,30
32,07:45:00,7,45
33,08:00:00,8,0
34,08:15:00,8,15
35,08:30:00,8,30
36,08:45:00,8,45
37,09:00:00,9,0
38,09:15:00,9,15
39,09:30:00,9,30
40,09:45:00,9,45
41,10:00:00,10,0
42,10:15:00,10,15
43,10:30:00,10,30
44,10:45:00,10,45
45,11:00:00,11,0
46,11:15:00,11,15
47,11:30:00,11,30
48,11:45:00,11,45
49,12:00:00,12,0
50,12:15:00,12,15
51,12:30:00,12,30
52,12:45:00,12,45
53,13:00:00,13,0
54,13:15:00,13,15
55,13:30:00,13,30
56,13:45:00,13,45
57,14:00:00,14,0
58,14:15:00,14,15
59,14:30:00,14,30
60,14:45:00,14,45
61,15:00:00,15,0
62,15:15:00,15,15
63,15:30:00,15,30
64,15:45:00,15,45
65,16:00:00,16,0
66,16:15:00,16,15
67,16:30:00,16,30
68,16:45:00,16,45
69,17:00:00,17,0
70,17:15:00,17,15
71,17:30:00,17,30
72,17:45:00,17,45
73,18:00:00,18,0
74,18:15:00,18,15
75,18:30:00,18,30
76,18:45:00,18,45
77,19:00:00,19,0
78,19:15:00,19,15
79,19:30:00,19,30
80,19:45:00,19,45
81,20:00:00,20,0
82,20:15:00,20,15
83,20:30:00,20,30
84,20:45:00,20,45
85,21:00:00,21,0
86,21:15:00,21,15
87,21:30:00,21,30
88,21:45:00,21,45
89,22:00:00,22,0
90,22:15:00,22,15
91,22:30:00,22,30
92,22:45:00,22,45
93,23:00:00,23,0
94,23:15:00,23,15
95,23:30:00,23,30
96,23:45:00,23,45
