_id,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CAT_DESC,UNIT_TYPE,CATEGORY_CLASS,CAT_GRP,IN_SERV_DT,STATUS_DESC,CLASS2,HIGH_PRIORITY,OWNER_DIVISION,REF_DIVISION,SEASONAL,AVAILABILITY_YTD,unit_key_int,fleet_age,Utilization,specialized_units,REF_USING_DIV,owner_division_key,using_division_key
1,001052,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-10-28,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.9850800851254481,1052,8,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
2,001053,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-10-31,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.973195564516129,1053,8,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
3,001054,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-10-31,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.8119707661290323,1054,8,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
4,001055,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-10-31,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.9325257616487455,1055,8,Not Underutilized,No,TORONTO BUILDING,17,17
5,001056,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.7416168234767025,1056,8,Not Underutilized,No,TORONTO BUILDING,17,17
6,001057,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Replacement Program,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.8810147849462366,1057,8,Not Underutilized,No,TORONTO BUILDING,17,17
7,001058,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.996476814516129,1058,8,Not Underutilized,No,TORONTO BUILDING,17,17
8,001059,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,1.0,1059,8,Not Underutilized,No,TORONTO BUILDING,17,17
9,001060,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-07,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,1.0,1060,8,Not Underutilized,No,TORONTO BUILDING,17,17
10,001061,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2014-11-18,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.9193548387096774,1061,8,Not Underutilized,No,TORONTO BUILDING,17,17
11,001062,2015,TOYOTA,YARIS,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2015-04-24,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,1.0,1062,8,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
12,001065,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-17,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.852021729390681,1065,7,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
13,001066,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-31,Active Unit,FLEE,None,SOLID WASTE MANAGEMENT,SOLID WASTE MANAGEMENT,Non Seasonal,1.0,1066,7,Not Underutilized,No,SOLID WASTE MANAGEMENT,16,16
14,001067,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-31,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9999910394265232,1067,7,Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
15,001068,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-31,Replacement Program,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9136015905017921,1068,7,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
16,001069,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-11-15,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.8631037186379928,1069,7,Not Underutilized,No,TORONTO BUILDING,17,17
17,001070,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-11,Active Unit,FLEE,None,TORONTO BUILDING,TORONTO BUILDING,Non Seasonal,0.9409386200716846,1070,7,Not Underutilized,No,TORONTO BUILDING,17,17
18,001071,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-11,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.7302312948028674,1071,7,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
19,001072,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-11,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,0.3661396729390682,1072,7,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
20,001073,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-11,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,1.0,1073,7,Not Underutilized,No,"ENVIRONMENT, CLIMATE & FORESTR",4,4
21,001074,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-11,Active Unit,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.9354838709677419,1074,7,Underutilized,No,PARKS & RECREATION,11,11
22,001075,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-17,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9225890456989247,1075,7,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
23,001076,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-17,Active Unit,FLEE,None,SOLID WASTE MANAGEMENT,SOLID WASTE MANAGEMENT,Non Seasonal,1.0,1076,7,Not Underutilized,No,SOLID WASTE MANAGEMENT,16,16
24,001077,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-17,Replacement Program,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9552872983870968,1077,7,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
25,001078,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-17,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.876875,1078,7,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
26,001079,2016,NISSAN,VERSA NOTE,7SZ1TEUZZZ,PASS-SUBCOMP CL1 4X2 8Y UNLEAD,LIGHT DUTY,CLASS1,SEDAN-PASS,2016-10-17,Replacement Program,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,1.0,1079,7,Not Underutilized,No,MUNICIPAL LICENSING & STDS,10,10
