owner_division,availability_rate,rated_n,fleet_n
INFORMATION & TECHNOLOGY,0.7664073700716846,1,1
PURCHASING & MATERIALS MGMT,0.76974854390681,19,19
FIRE SERVICES,0.792292226702509,2,2
SOLID WASTE MANAGEMENT,0.8498525301513188,636,716
"POLICY, PLANNING, FIN. & ADMIN",0.867406474014337,1,1
TRANSPORTATION SERVICES,0.8710212756662072,820,910
TORONTO PUBLIC LIBRARY,0.8795096758919843,44,44
"ENVIRONMENT, CLIMATE & FORESTR",0.8849109317423517,264,265
PARKS & RECREATION,0.8913440653285554,865,894
TORONTO HOUSING COMPANY,0.9011754131295981,190,192
TORONTO WATER,0.9078142691078177,925,927
ENGINEERING & CONSTR. SERVICES,0.9147287917654803,57,60
FACILITIES MGMT & REAL ESTATE,0.9176124263147809,159,161
CITY CLERKS OFFICE,0.920500609816806,9,9
PUBLIC HEALTH,0.9232618727598567,10,10
MUNICIPAL LICENSING & STDS,0.929087933147156,283,283
"SHELTER, SUP., & HOUSING ADMIN",0.9340346382168458,28,28
TORONTO BUILDING,0.93987308187724,24,24
MAYORS OFFICE,0.9455801971326165,1,1
FLEET SERVICES,0.9690685228416023,57,57
ECO. DEVT. & CULTURE,0.9817541442652331,10,10
