unit_no,unit_type,asset_class,availability_ytd,target,gap_to_target,utilization,disposal_candidate
050024,LIGHT DUTY,Light,0.0,95,-0.95,Not Underutilized,false
156224,MEDIUM DUTY,Medium,0.0,92,-0.92,,
224009,MEDIUM DUTY,Medium,0.0,92,-0.92,,
076061,MEDIUM DUTY,Medium,0.0022160618279570368,92,-0.917783938172043,,
080086,MEDIUM DUTY,Medium,0.00654625896057352,92,-0.9134537410394266,,
294099,OTHER,Other,0.0,90,-0.9,,
CLAW25,OTHER,Other,0.0,90,-0.9,,
CLAW37,OTHER,Other,0.0,90,-0.9,,
CLAW38,OTHER,Other,0.0,90,-0.9,,
CLAW39,OTHER,Other,0.0,90,-0.9,,
319215,OFF-ROAD,Off-Road,0.0,88,-0.88,,
111075,LIGHT DUTY,Light,0.08686155913978491,95,-0.8631384408602151,Not Underutilized,false
202023,HEAVY DUTY,Heavy,0.0,85,-0.85,,
204035,HEAVY DUTY,Heavy,0.0,85,-0.85,,
236339,HEAVY DUTY,Heavy,0.0,85,-0.85,,
237295,HEAVY DUTY,Heavy,0.0,85,-0.85,,
074033,MEDIUM DUTY,Medium,0.07189796146953406,92,-0.848102038530466,,
236333,HEAVY DUTY,Heavy,0.016129032258064516,85,-0.8338709677419355,,
270003,OTHER,Other,0.08391913082437284,90,-0.8160808691756272,,
204034,HEAVY DUTY,Heavy,0.0371622983870969,85,-0.812837701612903,,
236347,HEAVY DUTY,Heavy,0.0395558915770609,85,-0.8104441084229391,,
237248,HEAVY DUTY,Heavy,0.043604950716845836,85,-0.8063950492831542,,
188032,HEAVY DUTY,Heavy,0.05459509408602159,85,-0.7954049059139784,,
111119,LIGHT DUTY,Light,0.16765064964157708,95,-0.7823493503584229,Not Underutilized,false
154061,MEDIUM DUTY,Medium,0.1385478270609318,92,-0.7814521729390682,,
190001,HEAVY DUTY,Heavy,0.07364751344086028,85,-0.7763524865591397,,
319121,OFF-ROAD,Off-Road,0.11290322580645161,88,-0.7670967741935484,,
065195,LIGHT DUTY,Light,0.1892221102150538,95,-0.7607778897849462,Not Underutilized,false
188083,HEAVY DUTY,Heavy,0.10425795250896057,85,-0.7457420474910395,,
065147,LIGHT DUTY,Light,0.20650537634408603,95,-0.7434946236559139,Not Underutilized,false
112386,LIGHT DUTY,Light,0.21156137992831545,95,-0.7384386200716845,Not Underutilized,false
043279,LIGHT DUTY,Light,0.22147625448028674,95,-0.7285237455197132,Not Underutilized,false
050067,LIGHT DUTY,Light,0.22587141577060935,95,-0.7241285842293906,Not Underutilized,false
041419,LIGHT DUTY,Light,0.22663754480286738,95,-0.7233624551971326,Not Underutilized,false
237251,HEAVY DUTY,Heavy,0.13219702060931907,85,-0.7178029793906809,,
159049,MEDIUM DUTY,Medium,0.20519901761517606,92,-0.714800982384824,,
319051,OFF-ROAD,Off-Road,0.16639336917562722,88,-0.7136066308243728,,
319147,OFF-ROAD,Off-Road,0.16641241039426524,88,-0.7135875896057348,,
094099,LIGHT DUTY,Light,0.23959509408602145,95,-0.7104049059139785,Not Underutilized,false
236340,HEAVY DUTY,Heavy,0.14144993279569898,85,-0.708550067204301,,
318039,OFF-ROAD,Off-Road,0.17966117831541226,88,-0.7003388216845877,,
050210,LIGHT DUTY,Light,0.2508445340501792,95,-0.6991554659498207,Not Underutilized,false
041343,LIGHT DUTY,Light,0.2529866711469534,95,-0.6970133288530466,Not Underutilized,false
321006,OFF-ROAD,Off-Road,0.18362007168458774,88,-0.6963799283154123,,
076112,MEDIUM DUTY,Medium,0.22466397849462366,92,-0.6953360215053763,,
067065,LIGHT DUTY,Light,0.25806451612903225,95,-0.6919354838709677,Not Underutilized,false
095120,LIGHT DUTY,Light,0.25812724014336913,95,-0.6918727598566308,Not Underutilized,false
188048,HEAVY DUTY,Heavy,0.16129032258064516,85,-0.6887096774193548,,
067153,LIGHT DUTY,Light,0.26464101702508963,95,-0.6853589829749103,Not Underutilized,false
050071,LIGHT DUTY,Light,0.2658484543010753,95,-0.6841515456989247,Not Underutilized,false
157042,MEDIUM DUTY,Medium,0.2432017249103942,92,-0.6767982750896058,,
237294,HEAVY DUTY,Heavy,0.17444220430107524,85,-0.6755577956989247,,
191016,HEAVY DUTY,Heavy,0.17637992831541213,85,-0.6736200716845878,,
205025,HEAVY DUTY,Heavy,0.1782935707885305,85,-0.6717064292114695,,
329048,OFF-ROAD,Off-Road,0.20967741935483872,88,-0.6703225806451613,,
204029,HEAVY DUTY,Heavy,0.1809750224014337,85,-0.6690249775985663,,
191017,HEAVY DUTY,Heavy,0.1852570564516129,85,-0.6647429435483871,,
041492,LIGHT DUTY,Light,0.28572524641577063,95,-0.6642747535842293,Not Underutilized,false
114063,MEDIUM DUTY,Medium,0.25806451612903225,92,-0.6619354838709678,,
076128,MEDIUM DUTY,Medium,0.2664746732026144,92,-0.6535253267973856,,
045161,LIGHT DUTY,Light,0.29865871415770606,95,-0.6513412858422939,Not Underutilized,false
202044,HEAVY DUTY,Heavy,0.19873543906810037,85,-0.6512645609318997,,
222034,MEDIUM DUTY,Medium,0.27615759408602153,92,-0.6438424059139785,,
112291,LIGHT DUTY,Light,0.31363183243727594,95,-0.636368167562724,Not Underutilized,false
041192,LIGHT DUTY,Light,0.3139471326164873,95,-0.6360528673835126,Not Underutilized,false
319245,OFF-ROAD,Off-Road,0.24487623207885303,88,-0.635123767921147,,
064174,LIGHT DUTY,Light,0.3216677867383512,95,-0.6283322132616487,Not Underutilized,false
156115,MEDIUM DUTY,Medium,0.292652329749104,92,-0.627347670250896,,
074016,MEDIUM DUTY,Medium,0.2948034274193549,92,-0.6251965725806452,,
319221,OFF-ROAD,Off-Road,0.25728718637992826,88,-0.6227128136200717,,
067032,LIGHT DUTY,Light,0.3278864247311828,95,-0.6221135752688172,Not Underutilized,false
347018,OFF-ROAD,Off-Road,0.25806451612903225,88,-0.6219354838709678,,
112382,LIGHT DUTY,Light,0.33293738799283157,95,-0.6170626120071684,Not Underutilized,false
158088,HEAVY DUTY,Heavy,0.2337477598566308,85,-0.6162522401433692,,
065142,MEDIUM DUTY,Medium,0.30587757616487454,92,-0.6141224238351255,,
156178,MEDIUM DUTY,Medium,0.3064516129032258,92,-0.6135483870967742,,
