using_division,light_duty_n,underutilization_rate,underutilized_n,specialized_share
PURCHASING & MATERIALS MGMT,2,1.0,2,0.0
ECO. DEVT. & CULTURE,5,0.4,2,0.4
FLEET SERVICES,23,0.2608695652173913,6,0.30434782608695654
PUBLIC HEALTH,8,0.125,1,0.5
FACILITIES MGMT & REAL ESTATE,139,0.09352517985611511,13,0.7194244604316546
PARKS & RECREATION,305,0.08852459016393442,27,0.3639344262295082
TORONTO WATER,412,0.07281553398058252,30,0.41019417475728154
TORONTO HOUSING COMPANY,183,0.0546448087431694,10,0.5355191256830601
"ENVIRONMENT, CLIMATE & FORESTR",102,0.049019607843137254,5,0.24509803921568626
TRANSPORTATION SERVICES,351,0.04843304843304843,17,0.42165242165242167
"SHELTER, SUP., & HOUSING ADMIN",25,0.04,1,0.08
ENGINEERING & CONSTR. SERVICES,57,0.017543859649122806,1,0.6140350877192983
MUNICIPAL LICENSING & STDS,253,0.015810276679841896,4,0.1067193675889328
CITY CLERKS OFFICE,6,0.0,0,1.0
INFORMATION & TECHNOLOGY,2,0.0,0,0.5
MAYORS OFFICE,1,0.0,0,0.0
"POLICY, PLANNING, FIN. & ADMIN",1,0.0,0,0.0
SOLID WASTE MANAGEMENT,155,0.0,0,0.3935483870967742
TORONTO BUILDING,24,0.0,0,0.0
TORONTO PUBLIC LIBRARY,26,0.0,0,1.0
